station,station_name,year,chla,chloride,chromium,copper,dissolved_oxygen,conductivity,iron,manganese,lead,pH,tds,temperature,total_nitrogen,total_phosphorus,tss,turbidity,zinc
RS1,Kikuyu Springs,2017,0.05,50.36,0.04,0.01,3.23,670.18,4.05,1.05,0.12,7.33,401.34,24.1,0.04,0.17,162.18,92.73,0.05
RS2,Mbagathi,2017,0.34,79.91,0.03,0.02,2.43,620.0,1.79,0.22,0.04,8.06,384.15,23.86,5.08,0.22,30.73,43.41,0.2
RS3,Nairobi River at museum,2017,-0.1,250.77,0.07,0.14,1.84,1579.36,4.12,1.72,0.19,7.65,1038.18,22.26,0.06,0.01,61.19,47.95,1.23
RS4,Riara River,2017,-0.04,75.64,0.03,0.05,4.85,686.27,6.63,1.12,0.16,7.72,449.27,22.67,0.05,0.1,48.91,36.81,0.11
RS5,Ruiruaka River,2017,0.05,44.55,0.01,0.03,6.06,645.7,24.76,5.63,0.06,7.1,405.01,21.53,0.06,0.08,61.64,50.64,0.74
RS6,Mathare River,2017,0.24,63.64,0.05,0.16,1.73,974.0,10.93,4.82,0.33,7.24,593.1,23.2,0.02,0.16,176.82,169.18,0.13
RS7,Kiu River,2017,0.01,81.85,0.05,0.08,2.22,821.18,17.91,3.31,0.15,7.2,498.92,24.4,0.04,0.25,227.82,271.0,0.41
RS8,Ruiru River,2017,0.08,34.79,0.04,0.02,4.85,205.05,3.79,0.46,0.15,6.95,126.33,20.88,0.29,0.01,65.15,42.03,0.04
RS9,Nairobi River at Njiru,2017,0.06,3.0,0.01,0.05,4.49,83.45,5.88,0.59,0.17,7.54,51.96,21.76,0.02,0.05,35.62,17.82,0.06
RS10,Ngong River at Njiru,2017,0.15,128.18,0.05,0.09,2.18,1593.27,3.5,1.24,0.13,7.25,976.57,25.01,0.03,0.17,113.18,155.11,0.22
RS11,Kamiti River,2017,0.0,13.13,0.01,0.05,3.71,105.8,3.35,0.52,0.4,6.55,64.88,22.3,0.13,0.04,91.91,11.04,0.05
RS12,Thiririka River,2017,0.01,21.95,0.02,0.02,0.88,341.15,4.52,2.14,0.08,7.25,211.51,21.53,0.13,0.51,129.45,75.44,0.05
RS13,Komo River,2017,-0.02,144.09,0.72,0.19,2.01,956.64,25.55,6.34,0.41,7.48,584.45,25.0,0.17,0.18,197.82,256.82,0.33
RS14,Nairobi River downstream Dandora WWTP,2017,0.0,18.82,0.07,0.03,1.21,206.8,14.81,0.14,0.36,7.4,126.7,19.41,0.01,0.07,52.45,81.96,0.12
RS15,Ndarugu River,2017,0.01,72.64,0.31,0.09,0.9,944.0,28.9,4.42,0.32,7.14,560.5,24.46,0.05,0.28,296.0,215.6,0.36
RS16,Athi River at Fourteen Falls,2017,0.01,18.64,0.44,0.14,3.07,236.29,26.3,2.09,1.74,6.94,145.82,21.03,0.02,0.08,88.21,29.25,0.22
RS17,Athi River downstream of EPZA WWTP,2017,0.01,15.36,0.08,0.02,2.5,457.0,1.67,1.08,0.1,6.41,282.0,20.86,0.04,0.07,20.96,111.3,0.04
RS18,Athi River at Wamunyu,2017,0.06,54.18,0.0,0.0,6.57,344.4,1.95,0.87,0.13,7.22,213.5,22.32,0.02,0.0,1.85,2.64,0.1
RS1,Kikuyu Springs,2018,0.14,57.0,0.09,0.08,2.82,514.53,19.19,4.53,0.13,7.16,284.1,22.01,0.15,0.16,206.67,96.82,0.44
RS2,Mbagathi,2018,0.01,20.67,0.08,0.01,6.35,389.61,4.67,1.18,0.13,7.53,247.63,22.63,1.37,0.08,136.42,55.67,0.26
RS3,Nairobi River at museum,2018,0.06,216.19,0.24,0.3,4.93,1302.04,16.97,1.94,0.19,8.12,792.33,21.55,0.27,0.04,64.03,40.71,1.99
RS4,Riara River,2018,-0.01,58.25,0.08,0.12,5.46,475.22,7.15,1.95,0.18,7.41,273.71,19.07,1.33,0.04,122.38,48.71,0.73
RS5,Ruiruaka River,2018,0.04,44.58,0.01,0.03,6.76,684.83,24.5,6.39,0.08,7.69,421.71,21.32,0.06,0.09,62.0,92.52,0.94
RS6,Mathare River,2018,0.13,92.21,0.09,0.15,1.85,691.5,17.91,5.16,0.5,7.55,392.1,23.07,0.05,0.19,134.22,113.74,0.56
RS7,Kiu River,2018,0.07,81.63,0.09,0.31,2.5,622.67,35.12,7.95,0.28,7.14,365.1,22.41,0.09,0.15,485.33,169.42,1.47
RS8,Ruiru River,2018,0.13,7.67,0.02,0.04,5.58,104.14,72.45,5.06,0.08,6.55,571.5,21.65,0.45,0.02,334.23,305.61,2.0
RS9,Nairobi River at Njiru,2018,0.4,4.58,0.04,0.11,6.35,79.55,21.6,1.91,0.33,6.85,401.6,20.75,0.24,0.03,119.53,98.62,0.77
RS10,Ngong River at Njiru,2018,0.13,75.42,0.07,0.12,2.88,948.03,29.53,5.39,0.1,7.69,517.28,23.43,0.02,0.22,323.17,272.31,1.28
RS11,Kamiti River,2018,0.03,6.29,0.09,0.07,6.12,84.04,24.63,2.22,0.26,7.01,46.2,21.06,0.29,0.02,69.88,85.14,0.69
RS12,Thiririka River,2018,0.0,27.38,0.08,0.08,2.39,380.72,23.79,4.47,0.45,7.12,208.3,20.95,0.2,0.05,167.92,77.98,1.01
RS13,Komo River,2018,-0.05,100.67,0.23,0.17,4.04,925.04,17.84,13.82,0.44,7.47,540.75,24.0,0.16,0.17,164.56,83.94,1.08
RS14,Nairobi River downstream Dandora WWTP,2018,0.02,15.46,0.13,0.04,4.53,207.1,15.65,5.73,0.09,7.2,111.8,20.83,0.32,0.04,83.47,104.0,0.67
RS15,Ndarugu River,2018,0.09,78.33,0.23,0.09,1.24,747.1,34.27,7.53,0.14,7.12,480.8,21.95,0.1,0.22,562.4,176.8,1.71
